"clust","Year","admin1Name","Cases","Cases_SuspectedUnconfirmed","Reports_All","Any_Confirmed_Cases","Source","LabDist","LabTravelTime","TotalPopulation_ByYear","AgriProp_ESA","UrbanProp_ESA","ForestProp_ESA","LGAarea_km2","x","y","PrecipMeanAnnual_2011_2019_CHIRPS","PrecipMeanWettest_2011_2019_CHIRPS","PrecipMeanDriest_2011_2019_CHIRPS","PrecipMonthlyCoefv_2011_2019_CHIRPS","TempMeanAnnual_201119_NOAA","TempMonthlyCoefv_201119_NOAA","CHELSA_TempAnnualMean","CHELSA_TempSeasonality","CHELSA_TempMeanWarmestQ","CHELSA_PrecipTotalAnnual","CHELSA_PrecipSeasonality","CHELSA_PrecipWettestQ","CityTravTime_Mean","HospitalDist_mean_km","HealthFacilityDist_mean_km","TotalPop2015","PopDens2015","TotalUrbanPop2015","TotalRuralPop2015","TotalPop2015_PropUrban","ImprovedHousingPrev_PopWeighted","Cropland_prop_ESA2015","Agri_prop_ESA2015","Urb_prop_ESA2015","Forest_prop_ESA2015","PovertyProp_Mean","PovertyProp_PopWeighted","Hospital_TravelTime","AllHealthFacility_TravelTime","EVI_Mean_20112019","EVI_SD_20112019","EVI_Coefv_20112019"
"1_1",2012,"Abia",0,1,1,0,"WER",207.531705542589,165.527282714844,3405019.26790297,0.704270310249523,0.0174004437697069,0.228716571295107,4859.50344767029,7.52318998,5.45330212,2289.59777505802,398.305061851387,12.0341780644002,0.680067642748864,27.4412529627482,0.0402766685096818,25.6271516213848,112.512007011394,27.2665731814198,2228.23295354952,66.9928133216477,990.568098159509,12.9730250481696,16.2949360258704,3.62278841326392,3780172.91574064,777.935191501638,2711636.3525209,1068536.56321974,0.717331300171389,0.454852974301537,0.342169800303632,0.702226633967846,0.0197750009731792,0.228619253376932,0.56529211958086,0.487154675764308,22.8583393096924,9.71580696105957,0.424162110433066,0.0884979552126049,0.208641821218423
"1_1",2013,"Abia",1,0,1,1,"WER",207.531705542589,165.527282714844,3502575.64781141,0.703725329907743,0.0178675697769473,0.228891743547822,4859.50344767029,7.52318998,5.45330212,2289.59777505802,398.305061851387,12.0341780644002,0.680067642748864,27.4412529627482,0.0402766685096818,25.6271516213848,112.512007011394,27.2665731814198,2228.23295354952,66.9928133216477,990.568098159509,12.9730250481696,16.2949360258704,3.62278841326392,3780172.91574064,777.935191501638,2711636.3525209,1068536.56321974,0.717331300171389,0.454852974301537,0.342169800303632,0.702226633967846,0.0197750009731792,0.228619253376932,0.56529211958086,0.487154675764308,22.8583393096924,9.71580696105957,0.424162110433066,0.0884979552126049,0.208641821218423
"1_1",2014,"Abia",0,0,0,0,"WER",207.531705542589,165.527282714844,3596328.88939154,0.702946786562342,0.0187823582077932,0.228813889213282,4859.50344767029,7.52318998,5.45330212,2289.59777505802,398.305061851387,12.0341780644002,0.680067642748864,27.4412529627482,0.0402766685096818,25.6271516213848,112.512007011394,27.2665731814198,2228.23295354952,66.9928133216477,990.568098159509,12.9730250481696,16.2949360258704,3.62278841326392,3780172.91574064,777.935191501638,2711636.3525209,1068536.56321974,0.717331300171389,0.454852974301537,0.342169800303632,0.702226633967846,0.0197750009731792,0.228619253376932,0.56529211958086,0.487154675764308,22.8583393096924,9.71580696105957,0.424162110433066,0.0884979552126049,0.208641821218423
"1_1",2015,"Abia",0,0,0,0,"WER",207.531705542589,165.527282714844,3705255.07295018,0.702226633967846,0.0197750009731792,0.228619253376932,4859.50344767029,7.52318998,5.45330212,2289.59777505802,398.305061851387,12.0341780644002,0.680067642748864,27.4412529627482,0.0402766685096818,25.6271516213848,112.512007011394,27.2665731814198,2228.23295354952,66.9928133216477,990.568098159509,12.9730250481696,16.2949360258704,3.62278841326392,3780172.91574064,777.935191501638,2711636.3525209,1068536.56321974,0.717331300171389,0.454852974301537,0.342169800303632,0.702226633967846,0.0197750009731792,0.228619253376932,0.56529211958086,0.487154675764308,22.8583393096924,9.71580696105957,0.424162110433066,0.0884979552126049,0.208641821218423
"1_1",2016,"Abia",0,0,0,0,"WER",207.531705542589,165.527282714844,3809768.05230504,0.681205963642026,0.021662968585776,0.250340612713613,4859.50344767029,7.52318998,5.45330212,2289.59777505802,398.305061851387,12.0341780644002,0.680067642748864,27.4412529627482,0.0402766685096818,25.6271516213848,112.512007011394,27.2665731814198,2228.23295354952,66.9928133216477,990.568098159509,12.9730250481696,16.2949360258704,3.62278841326392,3780172.91574064,777.935191501638,2711636.3525209,1068536.56321974,0.717331300171389,0.454852974301537,0.342169800303632,0.702226633967846,0.0197750009731792,0.228619253376932,0.56529211958086,0.487154675764308,22.8583393096924,9.71580696105957,0.424162110433066,0.0884979552126049,0.208641821218423
"1_1",2017,"Abia",0,0,0,0,"SitRep_1",207.531705542589,165.527282714844,3916647.04470867,0.67517225271517,0.0217602865039511,0.256335396473199,4859.50344767029,7.52318998,5.45330212,2289.59777505802,398.305061851387,12.0341780644002,0.680067642748864,27.4412529627482,0.0402766685096818,25.6271516213848,112.512007011394,27.2665731814198,2228.23295354952,66.9928133216477,990.568098159509,12.9730250481696,16.2949360258704,3.62278841326392,3780172.91574064,777.935191501638,2711636.3525209,1068536.56321974,0.717331300171389,0.454852974301537,0.342169800303632,0.702226633967846,0.0197750009731792,0.228619253376932,0.56529211958086,0.487154675764308,22.8583393096924,9.71580696105957,0.424162110433066,0.0884979552126049,0.208641821218423
"1_1",2018,"Abia",1,28,29,1,"SitRep_2",119.275601656,116.433242797852,4029365.35142839,0.674043364864339,0.0217602865039511,0.25746428432403,4859.50344767029,7.52318998,5.45330212,2289.59777505802,398.305061851387,12.0341780644002,0.680067642748864,27.4412529627482,0.0402766685096818,25.6271516213848,112.512007011394,27.2665731814198,2228.23295354952,66.9928133216477,990.568098159509,12.9730250481696,16.2949360258704,3.62278841326392,3780172.91574064,777.935191501638,2711636.3525209,1068536.56321974,0.717331300171389,0.454852974301537,0.342169800303632,0.702226633967846,0.0197750009731792,0.228619253376932,0.56529211958086,0.487154675764308,22.8583393096924,9.71580696105957,0.424162110433066,0.0884979552126049,0.208641821218423
"1_1",2019,"Abia",2,23,25,1,"SitRep_2",119.275601656,116.433242797852,4139867.15699154,0.674043364864339,0.0217602865039511,0.25746428432403,4859.50344767029,7.52318998,5.45330212,2289.59777505802,398.305061851387,12.0341780644002,0.680067642748864,27.4412529627482,0.0402766685096818,25.6271516213848,112.512007011394,27.2665731814198,2228.23295354952,66.9928133216477,990.568098159509,12.9730250481696,16.2949360258704,3.62278841326392,3780172.91574064,777.935191501638,2711636.3525209,1068536.56321974,0.717331300171389,0.454852974301537,0.342169800303632,0.702226633967846,0.0197750009731792,0.228619253376932,0.56529211958086,0.487154675764308,22.8583393096924,9.71580696105957,0.424162110433066,0.0884979552126049,0.208641821218423
"10_1",2012,"Delta",0,0,0,0,"WER",103.94363592122,148.128356933594,2482539.57232674,0.732308758955396,0.0100069332100763,0.194880979893691,8177.34432869133,6.3497784,5.84425332,2143.72880737291,384.547874357288,11.7456394113794,0.722086818977152,27.4878826565213,0.0394531252950565,25.8952079002079,110.455457380457,27.4620893970894,2247.70987525988,68.2566528066528,1047.28825363825,36.1376156324706,7.85010762566745,2.94493412739445,2714632.21334576,335.692818114767,1175001.41825806,1539630.79508769,0.43284000406445,0.311149648151949,0.408227409290501,0.729431476773746,0.0145712965102843,0.194800092442801,0.392217594415521,0.355106807784979,34.1725540161133,22.19167137146,0.398473436172265,0.0784221404793425,0.196806445199122
"10_1",2013,"Delta",0,0,0,0,"WER",103.94363592122,148.128356933594,2561179.6018651,0.731234111393575,0.0118557892304137,0.194707649641784,8177.34432869133,6.3497784,5.84425332,2143.72880737291,384.547874357288,11.7456394113794,0.722086818977152,27.4878826565213,0.0394531252950565,25.8952079002079,110.455457380457,27.4620893970894,2247.70987525988,68.2566528066528,1047.28825363825,36.1376156324706,7.85010762566745,2.94493412739445,2714632.21334576,335.692818114767,1175001.41825806,1539630.79508769,0.43284000406445,0.311149648151949,0.408227409290501,0.729431476773746,0.0145712965102843,0.194800092442801,0.392217594415521,0.355106807784979,34.1725540161133,22.19167137146,0.398473436172265,0.0784221404793425,0.196806445199122
