"admin2Name","admin1Name","Shape_Leng","Shape_Area","LGA","ID","Area_km2","clust"
"Anka","Zamfara",2.29037135522,0.211518230019,"Anka",57,2548.70675895711,"37_1"
"Bakura","Zamfara",1.61675791166,0.12492847959,"Bakura",85,1501.64606489834,"37_2"
"Birnin Magaji","Zamfara",1.49652658736,0.103099639755,"Birnin Magaji",109,1239.95729951567,"37_3"
"Bukkuyum","Zamfara",2.40028507179,0.273541342364,"Bukkuyum",122,3296.08493624961,"37_1"
"Bungudu","Zamfara",2.84083623254,0.168688468373,"Bungudu",123,2031.39368783654,"37_4"
"Gummi","Zamfara",2.0440079742,0.216290058587,"Gummi",246,2605.41660987951,"37_5"
"Gusau","Zamfara",3.49760285029,0.224776268357,"Gusau",249,2709.39586458926,"37_4"
"Kaura Namoda","Zamfara",1.47896553892,0.0720219732532,"Kaura Namoda",408,866.043446299834,"37_3"
"Maradun","Zamfara",2.42125399616,0.229229222712,"Maradun",467,2753.95031401772,"37_2"
"Maru","Zamfara",5.08944359845,0.597959232988,"Maru",470,7215.51481379197,"37_4"
"Shinkafi","Zamfara",1.38540444395,0.0652385619168,"Shinkafi",650,782.880451408212,"37_3"
"Talata Mafara","Zamfara",1.5523456217,0.121835766544,"Talata Mafara",672,1465.80856127973,"37_2"
"Tsafe","Zamfara",1.95026895686,0.15019064914,"Tsafe",683,1810.18791540031,"37_4"
"Zurmi","Zamfara",2.61193403579,0.223537567904,"Zurmi",745,2684.60712108698,"37_3"
