"LGA","Year","CroplandESA_pw","AgricultureESA_pw","UrbanESA_pw","ForestESA_pw"
"1_1","2016",0.269632157298081,0.558396867766386,0.208227484560915,0.193243787566169
"10_1","2016",0.327048916046226,0.704999749865248,0.0974852125692003,0.115274185882224
"10_2","2016",0.123663932034913,0.332184381899746,0.169704343576463,0.431060940917497
"11_1","2016",0.350691038955807,0.784871669439985,0.0357301178583716,0.0536105211882376
"12_1","2016",0.16014468393093,0.211109188137652,0.061549878059102,0.649840007790731
"12_2","2016",0.413707882273186,0.434261037163231,0.466423931264811,0.0897658881570446
"12_3","2016",0.48818548335973,0.576858440234765,0.0483598425803704,0.317934323865608
"13_1","2016",0.199371402020685,0.505721766742146,0.147812305666523,0.33862303412996
"14_1","2016",0.0539680088027693,0.182670677484055,0.102372257313403,0.533425644470733
"15_1","2016",0.330639625443423,0.46464214249353,0.308861545202672,0.0830239999840118
"16_1","2016",0.851908175058235,0.885226401037598,0.0961785184076789,0.00122381241198657
"16_2","2016",0.888425255734568,0.952468307703353,0.0262779269469485,0.00820181172608671
"16_3","2016",0.898523923538093,0.94822720285574,0.0305858990799728,0.000120207862603879
"17_1","2016",0.122179302058073,0.567060183568166,0.0551799392319917,0.324190365232534
"18_1","2016",0.488959940487733,0.787338954190666,0.0655058756919223,0.000954998359167886
"18_2","2016",0.581808577043434,0.865330359407464,0.0464648558688416,0.0000165136524433199
"18_3","2016",0.94623215884769,0.97300299004976,0.0225197776725992,0.0000535976087698144
"19_1","2016",0.663509338470533,0.816684553463885,0.0144896454363473,0.0269292887069393
"19_2","2016",0.42431098508755,0.483981251702149,0.460750010256111,0.00110344301963859
"19_3","2016",0.823696505277772,0.842672982848043,0.155161225553619,0.0000197967200119809
"19_4","2016",0.375664914224265,0.653552986179522,0.0129923009267156,0.145829544403638
"19_5","2016",0.289382688323002,0.409385573688113,0.00738499542925886,0.0171888245688818
"19_6","2016",0.835084404744899,0.92953945357782,0.0314364351680583,0.00743006517092806
"2_1","2016",0.6557183137333,0.749770591652315,0.189998812511899,0.00747695123005246
"2_2","2016",0.715664649860364,0.835321352154404,0.0370061741391469,0.0761672106199367
"2_3","2016",0.797848993252801,0.867263354254594,0.0630241670958893,0.0267847477718779
"2_4","2016",0.820689743658145,0.920446117110898,0.0352889653520181,0.0175596022647589
"2_5","2016",0.194343283061706,0.289944310238182,0.0453229244637647,0.530204007859396
"20_1","2016",0.528742090541012,0.551701633031834,0.441361979596583,0.0000100215444385301
"20_2","2016",0.920432342400699,0.934487851783144,0.0394764227911143,0.00644861900876946
"20_3","2016",0.892321660664282,0.928361301408644,0.0595509093768212,0.000213781151279631
"21_1","2016",0.911716443714649,0.917415448845804,0.0696702093730152,0.0000697515421615637
"21_2","2016",0.604857201272504,0.71777020769601,0.125605277053295,0.00000851790219297317
"21_3","2016",0.436248659673363,0.716425512441898,0.0767685566339842,0
"22_1","2016",0.646595930940949,0.814822627425263,0.0628141119098087,0.0000404515516918809
"22_2","2016",0.884443139375998,0.922997547908814,0.0149873778489791,0.000905470978967266
"22_3","2016",0.880110173611488,0.930446699255057,0.0316955669372222,0
"22_4","2016",0.890383118283936,0.933165164450784,0.035603861990792,0.000811932590853982
"22_5","2016",0.89831954854179,0.930312817881704,0.0601935759131065,0.000257120104772274
"23_1","2016",0.117108209368425,0.176061345465478,0.116414946915239,0.534978055741947
"23_2","2016",0.0732778271424927,0.157125303166221,0.0439118648668673,0.744300893259785
"23_3","2016",0.118107617821708,0.196637513007276,0.0422099460953285,0.55579930492615
"23_4","2016",0.0219960005459117,0.0506737724967974,0.0593271097275013,0.796655198367853
"24_1","2016",0.0334458725707741,0.0872458147302295,0.498375837201479,0.0324878208739912
"24_2","2016",0.0458509240820597,0.11379444134369,0.0108226240770561,0.528948460755823
"24_3","2016",0.237441705489803,0.318310825967844,0.0569364520112287,0.328664254757654
"24_4","2016",0.0325828518788467,0.114462408617765,0.146747331789228,0.48463042394832
"24_5","2016",0.0734320209787123,0.101926559067124,0.0130410545851716,0.319644110912119
